Person1,Aspect,Person2,Score
Ascendant,60,Sun,2
Ascendant,90,Sun,-2
Ascendant,120,Sun,2
Ascendant,180,Sun,4
Ascendant,0,Moon,3
Ascendant,60,Moon,3
Ascendant,90,Moon,-2
Ascendant,120,Moon,3
Ascendant,180,Moon,4
Ascendant,0,Mercury,2
Ascendant,60,Mercury,1
Ascendant,90,Mercury,-1
Ascendant,120,Mercury,1
Ascendant,180,Mercury,2
Ascendant,0,Venus,3
Ascendant,60,Venus,2
Ascendant,90,Venus,1
Ascendant,120,Venus,2
Ascendant,180,Venus,1
Ascendant,0,Mars,2
Ascendant,60,Mars,2
Ascendant,90,Mars,-1
Ascendant,120,Mars,2
Ascendant,180,Mars,-1
Ascendant,0,Jupiter,2
Ascendant,60,Jupiter,1
Ascendant,90,Jupiter,1
Ascendant,120,Jupiter,1
Ascendant,180,Jupiter,2
Ascendant,0,Saturn,-2
Ascendant,60,Saturn,1
Ascendant,90,Saturn,-2
Ascendant,120,Saturn,1
Ascendant,180,Saturn,-2
Ascendant,180,Uranus,-2
Ascendant,0,Neptune,-1
Ascendant,180,Neptune,-1
Ascendant,180,Pluto,-1
Ascendant,0,Ascendant,1
Ascendant,60,Ascendant,2
Ascendant,90,Ascendant,-2
Ascendant,120,Ascendant,2
Ascendant,180,Ascendant,1
MC,0,Mercury,2
MC,0,Venus,1
